Status,Reason To Go,Reason To Go - Category,Reason To Go - All Tags,Reason Not To Go,Reason Not To Go - Category,Reason Not To Go - All Tags,What Would Help
No,,,,I don't have enough vacation time from work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Younger kids at home.,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,I want my children and other teens to realize that they can do hard things and that serving others is what brings us pure Joy. I loved the previous trips that I've gone with my other children.,Previous Positive Experience,Previous Positive Experience,,,,
Yes,Previous experiences with family and friends going,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Previous Positive Experience,,,,
No,,,,,,,
No,,,,Other children at home and job,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Cost. I would do a heartbeat! It's actually my dream.,Cost / Finances,Cost / Finances,
No,,,,Cost,Cost / Finances,Cost / Finances,
Yes,Just wanted to serve 🤍,Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,,,,
No,,,,Financial,Cost / Finances,Cost / Finances,
No,,,,,,,
Maybe,,,,,,,Not sure
Maybe,,,,,,,
No,,,,I would have loved to go but my brother in law wanted to go with my daughter,Another Family Member Going Instead,Another Family Member Going Instead,
Yes,My builder.,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
Yes,Time with my child,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
Yes,Wanted a meaningful experience serving with my son,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,I want my son to have an experience without me to grow.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Maybe,,,,,,,My kids grew out of the age range for builders
No,,,,"I have been twice as a parent builder. My husband called ""dibs"" for this trip.",Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,,,,
No,,,,Small kids at home I can't leave,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,What her to have independence,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I have younger kids at home that I couldn't leave for that long. And work.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,I wanted my daughter to have this experience on her own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Our daughter asked to go on this trip alone without depending on us otherwise I for sure would have gone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I don't have time plus the expenses,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I want my child to have this experience away from home on his own in preparation for college/mission,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience; Other Life Commitment,
No,,,,,,,
Yes,Time with my kid,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,Time off.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"Cost, availability",Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,,,,
No,,,,"Mostly, because she would lean on me too much if I was there. Plus I have other responsibilities at home.",Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Cost and time away from work.,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Amount of time I would need to take off work and physical limitations,Work Schedule / Time Off,Work Schedule / Time Off; Health / Physical / Age,
No,,,,Other commitments,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I want my child to have an independent experience without a parent there.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,She tends to lean on me when I'm present. She is excited to do it alone.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I was unavailable and it's expensive to pay for 2 trips,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,"time away from work, plus added cost",Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My daughter preferred to go on her own,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I know my daughter will do best without me there!,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I've been before and I wanted my daughter to have the experience sans parent.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My child specifically said she wanted to go by herself,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,"too much time off of work, wanted to give my son his space to experience without parent along",Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,My Job,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Cost,Cost / Finances,Cost / Finances,
Maybe,,,,,,,Care for my children I leave at home. :)
No,,,,I think my children would prefer the experience independent of a parent. Didn't want to spend the money.,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,seeing friends go,Other / Uncategorized,,
No,,,,Nothing. Did not consider it,Not Aware It Was an Option,Not Aware It Was an Option,
Maybe,,,,,,,Knowing the dates you need help so I can get work off
No,,,,My other kids went and they had a positive experience.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
Yes,great experiences with my other two girls. and my daughter asked me to go with her,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Child/Spouse Asked Them to Go,,,,
No,,,,Cost of paying for both parent and builder and I wanted my kid to have an experience without me,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
Maybe,,,,,,,Cost
No,,,,Want our son to have an individual experience without us there :),Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time commitment. Child didn't want her parents to come.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Money!,Cost / Finances,Cost / Finances,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,"time off work, family obligations",Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I really wanted to go and kind of begged my daughter. But she has never traveled alone and wanted to do this one by herself. CRYING FACE EMOJI!!,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come; Wants Child to Have Independent Experience,
No,,,,I have a 12 year old son who is staying with me at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Unavailable due to other children's schedules,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,younger kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My daughter wanted to go alone so she could experience it as a mini-mission growing experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience; Other Life Commitment,
Maybe,,,,,,,Funds and next child's desire to go
No,,,,Funds,Cost / Finances,Cost / Finances,
No,,,,Time and Cost,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Other children at home.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,"money, could only afford to send my kid.",Cost / Finances,Cost / Finances,
No,,,,Younger kids at home that need me,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,It's a good experience for my son without me there,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I don't have time and didn't want to pay for myself.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My son doesn't want me to,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Child care,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,Spending time with my child,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
Yes,We've gone previously and have had a great experience with it.,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Previous Positive Experience,,,,
No,,,,"I have other children to care for, but plan to go next year!",Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,"She's a mommas girl so I decided it would be better for her to experience it on her own, if for sure go with my son in a few years though",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My daughter/builder wanted this experience on her own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,cost,Cost / Finances,Cost / Finances,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Wanted my son to have his own experience. although I'd love to go as a parent builder with a different group,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time away from other kids and cost of trip,Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Not in the budget right now.,Cost / Finances,Cost / Finances,
No,,,,I'm not comfortable in positions like that,Not a Traveler / Personal Preference,Not a Traveler / Personal Preference,
Yes,We've tried to do something like this with our older 3 kids and I wanted to go to this with Addie.,Other / Uncategorized,,,,,
No,,,,The cost.,Cost / Finances,Cost / Finances,
No,,,,My son will open up more when I'm not there.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I want my son to have this spiritual experience on his own. But I'm so jealous. I'd love to be there.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Give my kid independence,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,Getting my daughter to go & just overall experience.,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,Can't miss 3 weeks of work,Work Schedule / Time Off,Work Schedule / Time Off,
Yes,"The videos I watched on youtube from other Parent builders about their experience, one video they shared how the trip made them closer together and to know each other more than just a mom and son but as an individual. those videos trully influenced my decision",Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,No PTO available,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Cost. I want my kids to be independent,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
No,,,,Cost and duration of the trip is too long to leave younger children at home,Cost / Finances,Cost / Finances; Other Kids / Family at Home,
No,,,,My other kids at home and money,Cost / Finances,Cost / Finances; Other Kids / Family at Home,
No,,,,Single parent with a little at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,,,,
No,,,,Wanted child to have the privilege of independence.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,too much money for the parent builder,Cost / Finances,Cost / Finances,
No,,,,Finances,Cost / Finances,Cost / Finances,
No,,,,scheduling conlicts,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,work conflicts,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My work won't allow for it.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Price and time off,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Price,Cost / Finances,Cost / Finances,
No,,,,Sister went and looking for a testimony builder for my son,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,"Money, time and my son needed experiences indépendant of me.",Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,"Money, 3 of my kids are doing hxp trips and I can't afford to go too, although I would love to!!",Cost / Finances,Cost / Finances,
Yes,They were in need of a female parent builder and it sounded like a great experience,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,money and time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,My husband is going :),Another Family Member Going Instead,Another Family Member Going Instead,
Yes,I had a great experience last year in Ghana,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Previous Positive Experience,,,,
No,,,,I want my child to have this experience separate from us. I actually really want to go!!!,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Too busy with other kids and life,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Want my builder to have that time for just her,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Our son wanted to go on his own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Cost prohibitive and the length of time away from other younger kids,Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,My spouse is going with our daughter,Another Family Member Going Instead,Another Family Member Going Instead,
Yes,My daughter asked me to accompany her on her first international trip.,Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
No,,,,Too many young children at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I felt like it would be good for my daughter to go on her own.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,I have 6 younger kids at home.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My child needing to be on their own- and cost,Cost / Finances,Cost / Finances; Wants Child to Have Independent Experience,
Yes,"To be with my son, opportunity to serve",Faith / Service Motivation,Faith / Service Motivation,,,,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,,,,
No,,,,My husband is going.,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Too busy,Work Schedule / Time Off,Work Schedule / Time Off,
Maybe,,,,,,,Cost timing
No,,,,I want my kid to have his own personal experience without me there. This is his adventure.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My daughter said I couldn't,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,I have young ones at home.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,"My son didn't want me to go, lol. I really wanted to go.",Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,To busy,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My child needed this time away from home to grow,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Younger Children at Home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,independence for my daughter being away from us,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,I have other kids at home and I felt that this would be a good experience for my daughter without her parents.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,The desire to serve,Other / Uncategorized,,
No,,,,Time / work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,We have a lot of kids and responsibilities at home. Hard to step away even though we'd have loved to have gone.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,I might go when my you gear son goes.,Other / Uncategorized,,
No,,,,My son asked me not to,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,I do't have the time to take off of work and leave my younger children,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,I want my son to have influences outside of his parents,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Cost and time,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
Yes,The opportunity to travel and serve,Love of Travel / Culture,Love of Travel / Culture; Faith / Service Motivation,,,,
No,,,,"Time, other children",Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,"I don't have time, I have other kids at home",Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
Yes,Spend time with my son,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,"I wanted this to be my daughters experience, not mine.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
Yes,wanting to share an experience with my daughter,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,"originally a friend recommendation, this trip though was because other siblings have gone and loved it.",Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I have other kids who need me. Daughter didn't want me to.,Other Kids / Family at Home,Other Kids / Family at Home; Child Didn't Want Parent to Come,
No,,,,responsibilities at home,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Other responsibilities at home,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Didn't get my head in the game soon enough. :),Other / Uncategorized,,
No,,,,Time away from work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Chronic illness (nothing to do with HXP),Health / Physical / Age,Health / Physical / Age,
No,,,,Health issues,Health / Physical / Age,Health / Physical / Age,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Cost and other vacations already planned.,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,,,,
Yes,My wife,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
No,,,,Daughter wanted to be independent,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"Various factors including cost, time away, other children at home and work obligations. As well as wanting my child to have her own experience.",Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Our son wanted to go by himself,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Daughter didn't want me to go with her,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Want her to go with out me,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"Two factors, cost and the need to go without a parent. 1- The cost-- I can barely afford to send one child and the bill for one of the parent's to attend would have not been in our budget. 2- This trip is to help prepare my child for serving a mission and having experiences away from family. The ability to send him on his own for an extended period of tine was important in our decision when choosing which experience for him.",Cost / Finances,Cost / Finances; Other Kids / Family at Home; Wants Child to Have Independent Experience; Other Life Commitment,
No,,,,Son didn't want me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Give my son more opportunity for individual growth,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,Time with my daughter; opportunity to serve,Wanted Shared Experience with Child,Wanted Shared Experience with Child; Faith / Service Motivation,,,,
No,,,,I think its better for my daughter not to have me there as someone to lean ion. She will need to trust herself and those shes with,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"My husband is going, that's why.",Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,I would like to go as a parent builder in the future,Other / Uncategorized,,
No,,,,,,,
No,,,,Heard positive report from someone else that went.,Other / Uncategorized,,
No,,,,"How long the trip is, It's a long time to be away from the rest of my family",Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Want child to have experience away from parent,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,previous children have gone,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,not interested,Not a Traveler / Personal Preference,Not a Traveler / Personal Preference,
No,,,,,,,
No,,,,,,,
No,,,,I have 6 kids and a husband that works a busy job. Just not my season yet.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Daughter wants to go alone,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My husband is going this year,Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Already full and I have my most busy time at work in the summer.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Couldn't leave my other kids home that long,Other Kids / Family at Home,Other Kids / Family at Home,
Maybe,,,,,,,
No,,,,I can't leave my kids.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I never heard it as an option from my child (or as you call her “builder”),Not Aware It Was an Option,Not Aware It Was an Option,
No,,,,have other kids to take care of,Other Kids / Family at Home,Other Kids / Family at Home,
Maybe,,,,,,,cost
Maybe,,,,,,,I might go when my youngest is old enough so I don't have to worry about other kids being left unattended at home.
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,💵,Cost / Finances,Cost / Finances,
No,,,,,,,
No,,,,Daughter wanted own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,"I was asked to go by HXP. I've considered it for all of my kids' trips, but didn't want to negatively impact their experience. I only decided to go because my daughter agreed.",Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,I wanted to give my son a chance to have a trip all by himself.,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,"My husband is going, I'm excited for both him and my daughter!",Another Family Member Going Instead,Another Family Member Going Instead,
No,,,,Work schedule,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Flight time,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Time and money,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Cost and time off work,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
Yes,Daughter,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
Yes,My daughter,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
No,,,,,,,
No,,,,My daughter didn't want me to :),Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,,,,
No,,,,The cost. I would have loved to go.,Cost / Finances,Cost / Finances,
No,,,,My daughter went to West Virginia last summer and had an amazing experience!,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Time and money,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,Too busy and my child wants to go on her own,Work Schedule / Time Off,Work Schedule / Time Off; Wants Child to Have Independent Experience,
No,,,,Builder did not want me to go,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,,,,
No,,,,Younger children still at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I wanted my child to have his own experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,"Already went, it was awesome",Other / Uncategorized,,
Maybe,,,,,,,Less expensive.
No,,,,Trying to let my kids experience trust in themselves to go.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,I wanted my kid and I to be closer together and close to Jesus together,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,Husband travels and I still have a son at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Our builder wanted to go solo,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Sibling went 2 years ago and loves it.,Other Kids / Family at Home,Other Kids / Family at Home,
Maybe,,,,,,,"Mostly not going as my child is wanting to experience things on his own and grow without mom or dad, however we have another one going next year who would love our company so next year is an option. Also, cost, which is a necessary unavoidable, priority trip options prior to the older age group."
No,,,,Kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
Maybe,,,,,,,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,I have younger kids I can't leave,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Logistics with kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,"We wanted our son to have an experience serving others, but also wanted him to experience being on his own (since he is graduation age)",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience; Health / Physical / Age; Other Life Commitment,
No,,,,Child didn't want us to come. We also wanted her to have this experience separate from us.,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come; Wants Child to Have Independent Experience,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
Yes,My daughter invited me,Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
No,,,,We like the humanitarian trip experience before high school graduation,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience; Other Life Commitment,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Money,Cost / Finances,Cost / Finances,
No,,,,Cost and time away from home (family and job commitments),Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Wanted my son to have an experience living independently from parents.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,,,,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,"Didn't know it was an option, money, time commitment",Cost / Finances,Cost / Finances; Work Schedule / Time Off; Not Aware It Was an Option,
No,,,,Wanted my child to have her own experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Small children at home. The cost of a nanny while I am gone would be difficult to manage.,Cost / Finances,Cost / Finances; Other Kids / Family at Home,
No,,,,Cost and logistics of leaving my other children at home for that length of time,Cost / Finances,Cost / Finances; Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Expense,Cost / Finances,Cost / Finances,
No,,,,My son likes going without a parent there,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My son didn't want me on the trip.,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,"I work full time and just don't have the time, otherwise I would go.",Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,Time away from my other kids,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,I'm busy working.,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,Money. Time away from work,Cost / Finances,Cost / Finances; Work Schedule / Time Off,
No,,,,My child would like to have their own experience away from home.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Other kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I wanted my child to have the experience of doing it alone!,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,My schedule doesn't work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,My oldest daughter is leaving for her mission during the trip,Other Life Commitment,Other Life Commitment,
No,,,,Money,Cost / Finances,Cost / Finances,
Yes,My daughter asked for me to come and this will be the last summer before she graduates from HS.,Child/Spouse Asked Them to Go,Child/Spouse Asked Them to Go,,,,
No,,,,More kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,"Couldn't take the time off, younger siblings at home.",Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,My son needs to be on a trip without me.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
Yes,I was asked by the trip leader if I could go.,Personally Invited by HXP Staff/Trip Leader,Personally Invited by HXP Staff/Trip Leader,,,,
No,,,,Wanted my child to have the experience without me overseeing,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Child care for other kids,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,I have had three other children participate in this experience and it has always been great!,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
Yes,My daughter and wife,Family Member Was the Reason (No Elaboration),Family Member Was the Reason (No Elaboration),,,,
No,,,,My daughter did not want me to go.,Child Didn't Want Parent to Come,Child Didn't Want Parent to Come,
No,,,,Kids at home,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Did it before - amazing experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,four younger children,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Don't have time to be gone that long,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,,,,
No,,,,Too long being away from home,Other Kids / Family at Home,Other Kids / Family at Home,
Yes,Love the youth and quality time with our children.,Wanted Shared Experience with Child,Wanted Shared Experience with Child,,,,
No,,,,My son needs to have his own experience,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Work,Work Schedule / Time Off,Work Schedule / Time Off,
No,,,,I have another son with special needs that I need to care for and the other parent is a surgeon who can't take time off work for that long.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,Other children at home to care for,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,Too much time away from my other kids.,Work Schedule / Time Off,Work Schedule / Time Off; Other Kids / Family at Home,
No,,,,"Wanted my daughter to have her own experience. Would like to go in future, but a little too pricey to help her and me go.",Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Cost,Cost / Finances,Cost / Finances,
No,,,,My daughter wanted this to be HER experience away from home.,Other Kids / Family at Home,Other Kids / Family at Home; Wants Child to Have Independent Experience,
No,,,,Want to go next year when our youngest can be on the trip with us.,Other Kids / Family at Home,Other Kids / Family at Home,
No,,,,My other daughter did it last year and loved it. Wanted Brenna to have the same type of experience.,Wants Child to Have Independent Experience,Wants Child to Have Independent Experience,
No,,,,Current Mission Leaders and can't leave the mission.,Other Kids / Family at Home,Other Kids / Family at Home; Other Life Commitment,
No,,,,Money. I would love to go but cannot afford it.,Cost / Finances,Cost / Finances,
